"X","Y","OBJECTID","PID","SSL","PMPROPERTYID","UBID","PROPERTYNAME","PMPARENTPROPERTYID","PARENTPROPERTYNAME","ADDRESSOFRECORD","OWNEROFRECORD","WARD","REPORTEDADDRESS","CITY","STATE","POSTALCODE","YEARBUILT","PRIMARYPROPERTYTYPE_EPACALC","TAXRECORDFLOORAREA","REPORTEDBUILDINGGROSSFLOORAREA","BEPS","BEPS_METRIC_TYPE","BEPS_PROPERTY_GROUP","PROPERTY_BEPS_METRIC_YEAR","PROPERTY_BEPS_METRIC","MEETS_BEPS","DISTANCE_FROM_BEPS_ESTIMATED","PERFORMANCE_REQUIREMENT_EST","LATITUDE","LONGITUDE","XCOORD","YCOORD","MAR_ID","GIS_ID","GLOBALID","LASTUPDATE"
-77.0068310328633,38.8713552416059,106849,DC07080017,0708    0017,,,,,,79 POTOMAC AVENUE SE,RIVERFRONT HOLDINGS I LLC,6,,WASHINGTON,DC,,,,237563,,,,,,,Under Review,,,38.87134746,-77.00682875,399407.40990855,133724.67006183,313299,,{DF9A5348-F330-29BB-E053-792F520AEC22},
-77.0308201935513,38.9217187431599,108221,PM4371703,2868    0820,4371703,,Clifton Terrace L P,,,1312 CLIFTON ST NW,CLIFTON TERRACE L P,1,1312 Clifton ST,WASHINGTON,DC,20009,1918,Multifamily Housing,111224,111224,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.92171095,-77.0308179,397327.54992098,139315.84680753,232075,,{DF9A5348-F88C-29BB-E053-792F520AEC22},2022/05/18 00:00:00+00
-77.0102764445602,38.9088209782932,106838,DC06160115,0616    0115,,,,,,27 O STREET NW,DISTRICT OF COLUMBIA,5,,WASHINGTON,DC,,,,81288,,,,,,,Under Review,,,38.90881319,-77.01027416,399108.88976451,137883.68714421,294464,,{DF9A5348-F325-29BB-E053-792F520AEC22},
-76.9722334837503,38.8556447664636,106907,DC57410138,5741    0138,,,,,,2732 LANGSTON PL SE,LANGSTON LANE LTD PRTNSHP,8,,WASHINGTON,DC,,,,113703,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.85563699,-76.97223121,402410.27013546,131981.03742352,298593,,{DF9A5348-F36A-29BB-E053-792F520AEC22},
-77.0249024591072,38.9613186199715,106869,DC29850814,2985    0814,,,,,,5901 9TH STREET NW,DISTRICT OF COLUMBIA,4,,WASHINGTON,DC,,,,157644,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.96131082,-77.02490016,397841.92035222,143711.62696137,254272,,{DF9A5348-F344-29BB-E053-792F520AEC22},
-77.0818734483495,38.9358455780993,107906,PM4002851,1717    0804,4002851,,The Berkshire-Gables,,,4201 MASSACHUSETTS AVE NW,BERKSHIRE APARTMENTS LLC,3,4201 Massachusetts Ave NW,WASHINGTON,DC,20016,1952,Multifamily Housing,688692,688692,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.93583779,-77.08187114,392901.74975116,140886.77947369,294461,,{DF9A5348-F751-29BB-E053-792F520AEC22},2022/04/29 00:00:00+00
-76.9863307160967,38.8340742398048,106914,DC59210018,5921    0018,,,,,,4300 12TH STREET SE,DISTRICT OF COLUMBIA,8,,WASHINGTON,DC,,,,27672,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.83406646,-76.98632844,401187.02007217,129586.28051082,288153,,{DF9A5348-F371-29BB-E053-792F520AEC22},
-76.9877747535374,38.9224031348982,106890,DC39540803,3954    0803,,,,,,1304 SARATOGA AVENUE NE,BRENTWOOD ASSOCIATES,5,,WASHINGTON,DC,,,,62134,,,,,,,Under Review,,,38.92239534,-76.98777247,401060.33021168,139391.4398081,149262,,{DF9A5348-F359-29BB-E053-792F520AEC22},
-76.9895058925588,38.9201695717581,108671,PM6872313,3942    0040,6872313,,Brentwood Square Shopping Center,,,1213 BRENTWOOD RD NE,BRENTWOOD SQUARE SHOPPING CENT,5,1201-1233 Brentwood Road NE,WASHINGTON,DC,20018,1989,Other - Mall,68163,68163,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.92016178,-76.98950361,400910.24009186,139143.47709951,149821,,{DF9A5348-FA4E-29BB-E053-792F520AEC22},2022/05/18 00:00:00+00
-76.993268794573,38.932841965052,106888,DC38270803,3827    0803,,,,,,901 NEWTON STREET NE,DISTRICT OF COLUMBIA HOUSING AUTHORITY,5,,WASHINGTON,DC,,,,17140,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.93283417,-76.99326651,400583.82009773,140550.19000184,289588,,{DF9A5348-F357-29BB-E053-792F520AEC22},
